Section_ID,Section_Title,Content,text,clean_text,tokens,processed_text,word_count
11,Artificial Neural Network,"Artificial Neural Networks consist of input, hidden, and output layers. They mimic the functioning of biological neurons to perform prediction tasks.","Artificial Neural Network. Artificial Neural Networks consist of input, hidden, and output layers. They mimic the functioning of biological neurons to perform prediction tasks.",Artificial Neural Network Artificial Neural Networks consist of input hidden and output layers They mimic the functioning of biological neurons to perform prediction tasks,"['Artificial', 'Neural', 'Network', 'Artificial', 'Neural', 'Networks', 'consist', 'input', 'hidden', 'output', 'layer', 'They', 'mimic', 'functioning', 'biological', 'neuron', 'perform', 'prediction', 'task']",Artificial Neural Network Artificial Neural Networks consist input hidden output layer They mimic functioning biological neuron perform prediction task,19
12,Convolutional Neural Network,"CNN is specifically designed for image analysis. It consists of convolution layers, pooling layers, activation functions, and fully connected layers.","Convolutional Neural Network. CNN is specifically designed for image analysis. It consists of convolution layers, pooling layers, activation functions, and fully connected layers.",Convolutional Neural Network CNN is specifically designed for image analysis It consists of convolution layers pooling layers activation functions and fully connected layers,"['Convolutional', 'Neural', 'Network', 'CNN', 'specifically', 'designed', 'image', 'analysis', 'It', 'consists', 'convolution', 'layer', 'pooling', 'layer', 'activation', 'function', 'fully', 'connected', 'layer']",Convolutional Neural Network CNN specifically designed image analysis It consists convolution layer pooling layer activation function fully connected layer,19
13,Transfer Learning,"Transfer learning utilizes pre-trained models such as VGG16, ResNet50, MobileNet, and EfficientNet to improve performance on limited medical datasets.","Transfer Learning. Transfer learning utilizes pre-trained models such as VGG16, ResNet50, MobileNet, and EfficientNet to improve performance on limited medical datasets.",Transfer Learning Transfer learning utilizes pretrained models such as VGG16 ResNet50 MobileNet and EfficientNet to improve performance on limited medical datasets,"['Transfer', 'Learning', 'Transfer', 'learning', 'utilizes', 'pretrained', 'model', 'VGG16', 'ResNet50', 'MobileNet', 'EfficientNet', 'improve', 'performance', 'limited', 'medical', 'datasets']",Transfer Learning Transfer learning utilizes pretrained model VGG16 ResNet50 MobileNet EfficientNet improve performance limited medical datasets,16
14,MRI Dataset,"MRI images are collected from publicly available datasets. Images are resized, normalized, and augmented before model training.","MRI Dataset. MRI images are collected from publicly available datasets. Images are resized, normalized, and augmented before model training.",MRI Dataset MRI images are collected from publicly available datasets Images are resized normalized and augmented before model training,"['MRI', 'Dataset', 'MRI', 'image', 'collected', 'publicly', 'available', 'datasets', 'Images', 'resized', 'normalized', 'augmented', 'model', 'training']",MRI Dataset MRI image collected publicly available datasets Images resized normalized augmented model training,14
15,Data Preprocessing,"Image preprocessing includes resizing images, normalization, noise removal, and data augmentation using rotation, flipping, and zooming.","Data Preprocessing. Image preprocessing includes resizing images, normalization, noise removal, and data augmentation using rotation, flipping, and zooming.",Data Preprocessing Image preprocessing includes resizing images normalization noise removal and data augmentation using rotation flipping and zooming,"['Data', 'Preprocessing', 'Image', 'preprocessing', 'includes', 'resizing', 'image', 'normalization', 'noise', 'removal', 'data', 'augmentation', 'using', 'rotation', 'flipping', 'zooming']",Data Preprocessing Image preprocessing includes resizing image normalization noise removal data augmentation using rotation flipping zooming,16
16,Model Architecture,"The proposed CNN model contains convolution layers followed by ReLU activation, max pooling, dropout layers, flattening, dense layers, and a softmax output layer.","Model Architecture. The proposed CNN model contains convolution layers followed by ReLU activation, max pooling, dropout layers, flattening, dense layers, and a softmax output layer.",Model Architecture The proposed CNN model contains convolution layers followed by ReLU activation max pooling dropout layers flattening dense layers and a softmax output layer,"['Model', 'Architecture', 'The', 'proposed', 'CNN', 'model', 'contains', 'convolution', 'layer', 'followed', 'ReLU', 'activation', 'max', 'pooling', 'dropout', 'layer', 'flattening', 'dense', 'layer', 'softmax', 'output', 'layer']",Model Architecture The proposed CNN model contains convolution layer followed ReLU activation max pooling dropout layer flattening dense layer softmax output layer,22
17,Training Process,"The dataset is divided into training, validation, and testing sets. The Adam optimizer and categorical cross-entropy loss function are used during training.","Training Process. The dataset is divided into training, validation, and testing sets. The Adam optimizer and categorical cross-entropy loss function are used during training.",Training Process The dataset is divided into training validation and testing sets The Adam optimizer and categorical crossentropy loss function are used during training,"['Training', 'Process', 'The', 'dataset', 'divided', 'training', 'validation', 'testing', 'set', 'The', 'Adam', 'optimizer', 'categorical', 'crossentropy', 'loss', 'function', 'used', 'training']",Training Process The dataset divided training validation testing set The Adam optimizer categorical crossentropy loss function used training,18
18,Evaluation Metrics,"Performance is evaluated using Accuracy, Precision, Recall, F1 Score, ROC-AUC, and Confusion Matrix.","Evaluation Metrics. Performance is evaluated using Accuracy, Precision, Recall, F1 Score, ROC-AUC, and Confusion Matrix.",Evaluation Metrics Performance is evaluated using Accuracy Precision Recall F1 Score ROCAUC and Confusion Matrix,"['Evaluation', 'Metrics', 'Performance', 'evaluated', 'using', 'Accuracy', 'Precision', 'Recall', 'F1', 'Score', 'ROCAUC', 'Confusion', 'Matrix']",Evaluation Metrics Performance evaluated using Accuracy Precision Recall F1 Score ROCAUC Confusion Matrix,13
19,Results,The proposed CNN model achieves high classification accuracy on MRI images. Transfer learning models such as ResNet50 improve generalization and reduce overfitting.,Results. The proposed CNN model achieves high classification accuracy on MRI images. Transfer learning models such as ResNet50 improve generalization and reduce overfitting.,Results The proposed CNN model achieves high classification accuracy on MRI images Transfer learning models such as ResNet50 improve generalization and reduce overfitting,"['Results', 'The', 'proposed', 'CNN', 'model', 'achieves', 'high', 'classification', 'accuracy', 'MRI', 'image', 'Transfer', 'learning', 'model', 'ResNet50', 'improve', 'generalization', 'reduce', 'overfitting']",Results The proposed CNN model achieves high classification accuracy MRI image Transfer learning model ResNet50 improve generalization reduce overfitting,19
20,Advantages,"The proposed system provides faster diagnosis, reduces human error, improves accuracy, and assists radiologists in medical decision-making.","Advantages. The proposed system provides faster diagnosis, reduces human error, improves accuracy, and assists radiologists in medical decision-making.",Advantages The proposed system provides faster diagnosis reduces human error improves accuracy and assists radiologists in medical decisionmaking,"['Advantages', 'The', 'proposed', 'system', 'provides', 'faster', 'diagnosis', 'reduces', 'human', 'error', 'improves', 'accuracy', 'assist', 'radiologist', 'medical', 'decisionmaking']",Advantages The proposed system provides faster diagnosis reduces human error improves accuracy assist radiologist medical decisionmaking,16
21,Limitations,Model performance depends on dataset quality and quantity. MRI image variations and class imbalance may reduce prediction accuracy.,Limitations. Model performance depends on dataset quality and quantity. MRI image variations and class imbalance may reduce prediction accuracy.,Limitations Model performance depends on dataset quality and quantity MRI image variations and class imbalance may reduce prediction accuracy,"['Limitations', 'Model', 'performance', 'depends', 'dataset', 'quality', 'quantity', 'MRI', 'image', 'variation', 'class', 'imbalance', 'may', 'reduce', 'prediction', 'accuracy']",Limitations Model performance depends dataset quality quantity MRI image variation class imbalance may reduce prediction accuracy,16
22,Future Scope,"Future work includes Vision Transformers, Explainable AI, Federated Learning, multimodal medical data analysis, and deployment in cloud-based healthcare systems.","Future Scope. Future work includes Vision Transformers, Explainable AI, Federated Learning, multimodal medical data analysis, and deployment in cloud-based healthcare systems.",Future Scope Future work includes Vision Transformers Explainable AI Federated Learning multimodal medical data analysis and deployment in cloudbased healthcare systems,"['Future', 'Scope', 'Future', 'work', 'includes', 'Vision', 'Transformers', 'Explainable', 'AI', 'Federated', 'Learning', 'multimodal', 'medical', 'data', 'analysis', 'deployment', 'cloudbased', 'healthcare', 'system']",Future Scope Future work includes Vision Transformers Explainable AI Federated Learning multimodal medical data analysis deployment cloudbased healthcare system,19
23,Conclusion,Deep learning has significantly improved automated brain tumor detection using MRI images. CNN and transfer learning models provide reliable performance and have the potential to support clinical diagnosis.,Conclusion. Deep learning has significantly improved automated brain tumor detection using MRI images. CNN and transfer learning models provide reliable performance and have the potential to support clinical diagnosis.,Conclusion Deep learning has significantly improved automated brain tumor detection using MRI images CNN and transfer learning models provide reliable performance and have the potential to support clinical diagnosis,"['Conclusion', 'Deep', 'learning', 'significantly', 'improved', 'automated', 'brain', 'tumor', 'detection', 'using', 'MRI', 'image', 'CNN', 'transfer', 'learning', 'model', 'provide', 'reliable', 'performance', 'potential', 'support', 'clinical', 'diagnosis']",Conclusion Deep learning significantly improved automated brain tumor detection using MRI image CNN transfer learning model provide reliable performance potential support clinical diagnosis,23
24,References,Goodfellow et al. Deep Learning (2016); He et al. Deep Residual Learning for Image Recognition (2016); Simonyan and Zisserman. Very Deep Convolutional Networks (2015).,References. Goodfellow et al. Deep Learning (2016); He et al. Deep Residual Learning for Image Recognition (2016); Simonyan and Zisserman. Very Deep Convolutional Networks (2015).,References Goodfellow et al Deep Learning 2016 He et al Deep Residual Learning for Image Recognition 2016 Simonyan and Zisserman Very Deep Convolutional Networks 2015,"['References', 'Goodfellow', 'et', 'al', 'Deep', 'Learning', '2016', 'He', 'et', 'al', 'Deep', 'Residual', 'Learning', 'Image', 'Recognition', '2016', 'Simonyan', 'Zisserman', 'Very', 'Deep', 'Convolutional', 'Networks', '2015']",References Goodfellow et al Deep Learning 2016 He et al Deep Residual Learning Image Recognition 2016 Simonyan Zisserman Very Deep Convolutional Networks 2015,23
